Wine_Id,Name,Type,DO,Size,Grape,Ageing,Sight,Smell,Taste,Pairing
296,Vino Viña Sol ,Blancos,D.O Cataluña,"0,375L","Garnacha blanca,Garnacha,Parellada",Sin crianza,Amarillo pálido brillante,Aromas florales sobre fondo frutal con notas exóticas,"Ligero, sedoso, con fina acidez y agradable persistencia","Aperitivos, arroces, mariscos, pescados"
297,Cava Extra Codorniu,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pajizo pálido de burbuja fina y persistente,"Cítricos, flores y frutos secos",Fresco y dulce,"Aperitivos o acompañamiento de tapas, carnes blancas y pescados"
298,Vino Anna de Codorniu,Espumosos,D.O Cava,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",12 meses en botella,"Amarillo pajizo pálido, de burbuja fina y rosario continuo y corona persistente","Fruta tropical, cítricos",Suave con notas cítricas equilibradas y muy refrescante,"Aperitivos, mariscos, pescados, sushi o carpaccios"
299,Vino Pragustus,Blancos,,,Albariño,Sin crianza,Amarillo pajizo con ribetes acerados,"Aromas a flores blancas, toques cítricos y fondo a fruta verde","Suave, equilibrado, con postgusto que recuerda a fruta verde",Pescados y mariscos 
300,Melior,Blancos,D.O Rueda,,Sauvignon blanc,No,Amarillo paja muy pálido con ribetes color plata,Aromas tropicales a piña y mangos verdes,"Excelente equilibrio entre volumen, cuerpo y acidez",Comidas con estructura ligera como arroz o pescado
301,Vino Bahía de Denia,Blancos,D.O Alicante,"0,75L","Moscatel de alejandria,Moscatel",Sin crianza,Amarillo pajizo pálido con ribetes verdosos,"Frutas blancas y de hueso, flores blancas y cítricos","Goloso, de paso largo, potente y afrutado","Arroces, pescados y vinos"
302,Cava Parxet,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9-15 meses en botella,"Amarillo pálido con reflejos verdes, burbuja fina y persistente","Amplio, afrutado e intenso",Aromático y equilibrado,"Aperitivo o acompañamiento de tapas, carnes blancas y pescados"
303,Vino Bautista Martí Lambrusco ,Espumosos,D.O Lambrusco,"0,75L",Lambrusco de modena,Sin crianza,"Limpio, brillante, de tonalidad rojo rubí con reflejos violáceos","Nariz limpia, muy afrutada y floral","Afrutado, semi dulce, y de fresca acidez","Entrantes fríos, arroces, carnes blancas y rojas, pizza, pescados, pastas y comida asiática"
304,Scala Dei,,,,Lambrusco de modena,6 a 8 meses en depósitos de acero,Rojo intenso con ribete azulado,"Aromas a frutas rojas, fresco y atractivo ",Redondo y lleno en boca con recuerdos a fruta y minerales ,"Carnes a la parrilla, venado, quesos curados, jamón ibérico, tapas y todo tipo de pastas"
305,Vino Viña Sol,Blancos,D.O Cataluña,"0,75L","Garnacha blanca,Garnacha,Parellada",Sin crianza,Amarillo pálido brillante,Aromas florales sobre fondo frutal con notas exóticas,"Ligero, sedoso, con fina acidez y agradable persistencia","Aperitivos, arroces, mariscos, pescados"
306,Vino El Coto ,Blancos,D.O Rioja,"0,75L","Sauvignon blanc,Verdejo,Viura",Sin crianza,Amarillo pálido,Fruta blanca y cítricos ,"Fresco, cítricos y fruta blanca",Pescados a la plancha o al horno
307,Vino Marina Alta ,Blancos,D.O Alicante,"0,75L","Moscatel de alejandria,Moscatel",Sin crianza,Amarillo pálido pajizo,"Fresco con recuerdos alsacianos, flores blancas y fruta fresca",Amplio y afrutado con notas de anís e hinojo,"Marisco, pescados, arroces, paellas, pasta"
308,Vino Protos,Blancos,D.O Rueda,"0,75L",Verdejo,3 meses en lías finas,Amarillo pajizo con reflejos verdosos,"Potente, afrutado, con notas cítricas y tropicales","Fresco, con buena acidez, intenso, equilibrado con final largo","Arroces, pescados, mariscos, quesos, sopas"
309,Champagne Brut Mercier,Espumosos,D.O Champagne,,"Pinot noir,Pinot meunier,Chardonnay",36 meses en botella,Amarillo pálido pajizo con tonos verdes,Aromas frutales,"Muy estructurado, sabor a manzana y pera madura, con final cítrico y fresco","Arroces, carnes blancas, ensaladas y entrantes"
310,Vino Blume ,Blancos,D.O Rueda,"0,75L","Verdejo,Viura",Sin crianza,Brillante amarillo pálido con reflejos verdosos,"Aromas a frutas tropicales, cítricos, flores y manzanas","Acidez bien integrada, cuerpo medio y final suave","Bacalao, pulpo a la gallega, otros aperitivos con marisco y ensaladas de estilo mediterráneo"
311,Vino Intramurs,Blancos,,,Chardonnay,Sin crianza,"Amarillo-verdoso, brillante y limpio","Intenso, complejo, con aromas a frutas blancas y con un fondo cítrico y floral","Entrada amable, equilibrada, amplia y fresca y con un final largo y persistente","Risottos, quesos tiernos y semicurados, carnes blancas y mariscos"
312,Vino Marqués de Riscal ,Rosados,D.O Rioja,"0,75L","Malvasia,Garnacha blanca,Garnacha,Viura",Sin crianza,"Rosa pálido, brillante y vivaz","Fresa y frambuesa, con toques florales","Fresco, glicérico con final ácido agradable","Pescados, mariscos, pastas y arroces"
313,Vino Los Molinos,Blancos,D.O Valdepeñas,"0,75L",Verdejo,En tanques de acero inoxidable durante 12-15 días,Amarillo pálido con matices dorados,Aromas frescos a flores y frutas,"Hierbas, cítricos, melón y melocotón","Pescados, salpicón de marisco, sushi y calamares"
314,Vino Eko,Ecológicos,D.O Alicante,"0,75L",Monastrell,Fino toque de roble americano tostado,Rojo rubí,"Fruta roja muy madura, vainilla y moka","Elegante, taninos redondos, acidez equilibrada y final torrefacto","Embutidos, carnes rojas y de caza"
315,Vino Enterizo ,Blancos,D.O Utiel-Requena,"0,75L",Macabeo,Sin crianza,Amarillo pálido con tonos verdosos,Frutas tropicales y cítricos,"Equilibrado y de larga persistencia, fresco y fácil de beber","Pescados blancos, mariscos, entrantes"
316,Vino Monólogo,Blancos,D.O Rueda,"0,75L","Verdejo,Viura",Sin crianza,Amarillo pajizo con tonos verdosos acerados,"Complejo e intenso, frutas blancas, flores y hierbas","Fresco, amplio, sabroso, con buena acidez, de largo retrogusto","Aperitivos, entrantes, arroces, pasta, quesos suaves"
317,Compta Ovelles,Blancos,D.O Penedès,,"Xarel.lo,Chardonnay,Sauvignon blanc",Sin crianza,Amarillo pajizo con tonalidades verdosas,"Buena intensidad aromática con toques a frutas tropicales, toques almibarados, notas cítricas y florales",Amplio y sedoso con una acidez persistente y fresco,Arroces y pescados
318,Vino Ermita d'Espiells,Blancos,D.O Penedès,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pálido brillante,"Intenso y agradable, frutas blancas, flores y hierbas","Refrescante, equilibrado y untuoso","Aperitivos, arroces, mariscos, pescados"
319,Vino Ramón Roqueta,Blancos,D.O Cataluña,"0,75L","Chardonnay,Macabeo",Sin crianza,Amarillo pálido,Aromas florales y frutas fresca,"Fresco, equilibrado",Con todo
320,Vino Sumarroca,Blancos,D.O Penedès,"0,75L","Moscatel,Macabeo,Xarel.lo",Sin crianza,Amarillo pálido con tonos marfil,"Fresco y elegante, fruta blanca y flores","Fresco y afrutado, con recuerdos finales agradables","Aperitivos, entrantes, quesos suaves, pescados y mariscos"
321,Vino Cap de Ruc,Blancos,D.O Montsant,"0,75L","Macabeo de viñas viejas,Garnacha blanca,Garnacha,Macabeo",6 meses en lías finas,Amarillo pálido con reflejos verdosos,Frutas blancas y notas florales,"Fresco y fino, suave, equilibrado con final agradable","Pescados, arroces, patés, verduras"
322,Vino Terra Càlida,Blancos,D.O Cataluña,"0,75L","Moscatel,Macabeo",Sin crianza,Amarillo pálido,Aromas florales sobre fondo de fruta blanca,Suave y fresco con postgusto aromático (melón),Pescados y mariscos
323,Vino Tharsys City,Blancos,D.O Utiel-Requena,"0,75L",Macabeo,3 meses en barrica de roble francés,Amarillo pajizo con reflejos dorados,"Complejo, frutas blancas, frutos secos y especias","Meloso, fresco, de paso largo y final persistente","Mariscos, pescados y carnes blancas"
324,Vino Corazón Loco,Blancos,D.O Manchuela,"0,75L","Sauvignon blanc,Verdejo",Sin crianza,Amarillo pálido con ribete verdoso,"Pomelo, manzana verde, mango y fruta de la pasión con flores",Suave y agradable con toques de fruta tropical con final largo,"Aperitivos, ensaladas, quesos frescos, pescados, mariscos y arroces"
325,Vino Canallas,,,,"Sauvignon blanc,Verdejo",Sin crianza,Amarillo pajizo brillante,Notas frescas de frutas con toques cítricos,"Entrada en boca suave, refrescante y con final largo y muy agradable","Es perfecto para copeo entre horas, acompañar tapas de mariscos, entrantes ligeros y arroces. "
326,Vino Ovación,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo pálido,Aromas frutales y cítricos,"Fresco, sabroso, con un toque amargo","Aperitivos, entrantes, arroces, pasta, quesos suaves"
327,Vino Barón de Turís,Blancos,D.O Valencia,"0,75L",Malvasia,Sin crianza,Amarillo muy pálido con reflejos verdosos,Frutas de verano y cítricos,Equilibrado con un punto de acidez final,"Aperitivos, pescados, mariscos, pollo, ensaladas y arroces"
328,Vino Carrascalejo,Rosados,D.O Bullas,"0,75L",Monastrell,Sin crianza,Rojo fresa brillante,Frutos rojos con matices de gominola,"Amplio, goloso y muy equilibrado","Mariscos, pescados, arroces"
329,Cava Brut Hill,Espumosos,D.O Cava,,"Xarel.lo,Chardonnay,Macabeo,Parellada",Mínimo 12 meses de crianza en botella,"Amarillo pálido brillante, con reflejos verdosos y finas burbujas",Aromas frescos de manzana verde y lima con final con recuerdo de flores blancas,"Entrada amable seguida de una acidez refrescante con toques cítricos, intenso, fresco y afrutado","Carnes y verduras a la brasa, productos ahumados, arroces o como aperitivo a cualquier hora"
330,Sandara  Lemon,,,,"Verdejo,Sauvignon blanc,Viura",Sin crianza,Amarillo brillante con tonos verdosos,Aromas a lima limón y extracto de lúpulo,"Fresco, vivaz y notas cítricas",Aperitivos
331,Vino Atrium,Blancos,D.O Penedès,"0,75L",Chardonnay,Sin crianza,Dorado pálido,"Aromas frutales, pistacho y café verde","Firme, sabroso y avainillado","Pescados, paellas y pavo"
332,Vino Osborne Porto,Generosos,D.O Oporto,"0,75L","Tinta barroca,Tinta amarela,Tinta roiz,Touriga francesa,Touriga nacional",4 años en barrica de roble,Tinto brillante,Aromas secundarios bien desenvueltos,Vino dulce y muy equilibrado,Aperitivos o para acompañar la sobremesa
333,Vino Barón de Turís ,Rosados,D.O Valencia,"0,75L",Tempranillo,Sin crianza,Rojo cereza con reflejos morados,"Potente y elegante, fresas y frambuesas","Equilibrado, amable y buena acidez","Aperitivos, ensaladas, pastas, pollo, paellas"
334,Cava Juvé y Camps,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",36 meses en botella,Dorado pálido con burbuja fina y corona estable,"Profundo, intenso y elegante, frutas blancas maduras, cítricos y pan tostado","Cremoso, fresco, amplio y sugestivo","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
335,Vino Martín Códax,Blancos,D.O Rías Baixas,"0,75L",Albariño,Sin crianza,Amarillo limón con reflejos verdosos,"Lima y mandarina, flores y hierba","Envolvente, fresco y con buen equilibrio","Mariscos, pescados, carnes blancas, arroces y quesos frescos"
336,Vino Dehesas Viejas ,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo verdoso brillante,"Frutas blancas, tropicales y toques cítricos","Fresco, intenso, fácil de beber","Pastas, mariscos, carnes blancas y pescados"
337,Paco & Lola,Blancos,D.O Rías Baixas,,Albariño,3 MESES SOBRE LIAS FINAS,"AMARILLO PAJIZO, CON TONOS VERDOSOS, LIMPIO Y BRILLANTE","INTENSIDAD MEDIA-ALTA, AROMAS FLORALES, CÍTRICOS, FRUTA TROPICAL","FRESCO E INTENSO. PASO DE BOCA GRASO Y EQUILIBRADO, POSTGUSTO LARGO Y MUY PERSISTENTE","PASTAS, PESCADOS, CARNE BLANCA, MARISCOS, SUSHI."
338,Montesierra Blanco,Blancos,D.O Somontano,,"Chardonnay,Gewürztraminer,Macabeo",Sin crianza,Amarillo pálido brillante,"Fresco, amable en nariz, cítrico y refrescante","Suave, sabroso, equilibrado y fácil de beber","Quesos, fritura de pescado, pasteles de hojaldre con verduras"
339,Vino Viña Esmeralda,Blancos,D.O Cataluña,"0,75L","Gewürztraminer,Moscatel",Sin crianza,Amarillo pálido brillante,"Aromas florales, fruta fresca, tropicales y cítricos","Sensual y sedoso, con buena acidez","Aperitivos, marisco, pescado y patés"
340,Vino Viña Laujar ,Blancos,V. de la tierra Laujar-Alpujarra,"0,75L","Sauvignon blanc,Chardonnay",6 meses en lías   ,Amarillo pajizo con reflejos oro,"Aromas florales, frutales y toques minerales y ahumados","Suave, amplio, untuoso de acidez fresca y final largo","Ensaladas, pescados, carnes en su jugo y quesos"
341,Cava Brut Rsrva Raventos Rosell,,D.O Cava,,"Pinot noir,Macabeo,Parellada",18 meses en botella,Amarillo pálido,Aromas a frutas blancas y ligero aroma a pastelería,"Fresco, seco, acidez agradable, largo recorrido y carbónico suave","Pescados, mariscos, carnes ligeras, pastas y arroces"
342,Vino Juvé y Camps,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",24 meses en botella,Amarillo dorado con burbuja fina y corona estable,Frutas carnosas y fondo floral,"Agradable, equilibrado, cremoso y fresco","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
343,Cava Dominio de Tharsys,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo",18 meses en rima,Amarillo pálido alimonado   ,"Aromas a manzana verde, frutos secos y cítricos","Carbónico bien integrado, acidez notable, fácil de beber con ligero amargor final","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
344,Cava Dominio de la Vega,Espumosos,D.O Cava,"0,75L","Macabeo,Xarel.lo",18 meses ,Amarillo pajizo pálido con burbuja fina,"Olores frescos, florales y frutas cítricas","Fresco y de buena constitución, con final graso y agradable","Solo, pescados, mariscos, ensaladas, pastas, arroces, platos picantes y comida asiática"
345,Vino Tesoro de Bullas,Rosados,D.O Bullas,"0,75L",Monastrell,Sin crianza,"Rojo frambuesa vivo, con destellos violáceos","Fruta roja, aromas de pastelería y bollería","Suave, vivaz, aterciopelado de buena estructura","Arroces, pastas, aperitivos"
346,Vino De Casta ,Rosados,D.O Cataluña,"0,75L","Cariñena,Syrah,Tempranillo,Garnacha",Sin crianza,Frambuesa con reflejos anaranjados,Aromas florales y frutales,Sabroso y sensual con elegante persistencia,"Aperitivos, embutidos, verdura, pasta"
347,Vino Ètim,Blancos,D.O Montsant,"0,75L","Garnacha blanca,Garnacha,Macabeo",5 meses en barrica de roble francés,Amarillo pálido con reflejos verdosos,Fresco y afrutado,Elegante y equilibrado,"Pescados, mariscos, arroces, sushi"
348,Vino La Barca de Triana,Generosos,D.O Jerez-Manzanilla Sanlúcar de Barrameda,"0,75L",Manzanilla,Sin crianza,Amarillo pajizo brillante,"De alta intensidad: barniz, solera, aromas marinos y frutos secos","Con cuerpo, cálida, fresca y con buena persistencia","Tapas, mariscos, pescados, embutidos, salazones"
349,Cava Gramona Imperial,Espumosos,D.O Cava,"0,75L","Chardonnay,Macabeo,Xarel.lo",60 meses en botella,Amarillo pálido y reflejos pajizos,"Intenso, fruta blanca madura, notas cítricas, hierbas y toques de pastelería","Amplio, vivaz, refrescante y cremoso","Muy versátil, para cualquier tipo de comida"
350,Vino Cruz Conde,Generosos,D.O Montilla-Moriles,"0,75L",Pedro ximenez,Sin crianza,Amarillo pálido brillante,Aromas afrutados,"Ligero, delicado y ligeramente dulce","Solo, con hielo o combinado con bebidas gaseosas"
351,Cava Freixenet Reserva,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",15 meses en botella,Amarillo pálido con tonos pajizos,"Aromas de frutas cítricas, aromas tostados y frutos secos","Amplio, largo y fondo elegante","Carnes blancas, pescados y mariscos"
352,Cava Dominio de Tharsys,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo",9 meses en botella,Amarillo pajizo con reflejos dorados y burbuja fina,"Notas cítricas, tropicales y toques florales","Fresco y seco, amplio con final medio ",Aperitivos o acompañamiento de tapas   
353,Vino Raimat,Blancos,D.O Costers del Segre,"0,75L",Chardonnay,Sin crianza,Amarillo brillante intenso con reflejos verdosos,"Melón, melocotón, nectarina, lichis, fruta tropical y cítricos",Entrada redonda y equilibrado,"Carnes blancas, pescado, marisco, arroces, pastas y ensaladas"
354,Vino Parxet,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9-15 meses en botella,Amarillo pálido con reflejos verdes y burbuja fina,"Amplio, afrutado e intenso",Aromático y equilibrado,"Aperitivo o acompañamiento de tapas, carnes blancas y pescados"
355,Vino Blanc Tranquille ,Blancos,D.O Penedès,"0,75L","Parellada,Macabeo,Xarel.lo",Sin crianza,Amarillo pálido pajizo,"Fresco, expresivo, notas de manzana verde, pera y cítricos",Ligero y equilibrado con recuerdos afrutados y final armonioso,"Pescados, pasta, quesos semicurados, sopas, tortillas"
356,Vino Cuvée 1872,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pajizo muy pálido de burbuja fina y elegante,"Fruta blanca, cítricos y notas de flor blanca","Expresivo, cremoso, fresco y equilibrado","Un cava para disfrutar a cualquier hora del día, entrantes fríos, aperitivos, embutidos, quesos y  arroces"
357,Vino Marqués de Cáceres ,Blancos,D.O Rioja,"0,75L",Viura,Sin crianza,"Blanco pálido, de reflejos acero","Flor blanca, manzana y hierbas",Fresco y tranquilo,"Aperitivos y entremeses, verduras, mariscos, pescados y platos asiáticos con salsa agridulce"
358,Vino Segura Viudas,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",15 meses mínimo en botella,Amarillo pálido de burbuja elegante y persistente,"Aroma de frutos blancos, tropicales y cítricos","Complejo y sabroso, con buena acidez y sabor a lima y piña","Conservas, pastas, ensaladas, quesos, postres"
359,Vino Carlades Verdejo ,Blancos,,"0,75L",Verdejo,NO,AMARILLO LIMON PALIDO,AROMAS DE MELOCOTON MADURO Y FRUTAS TROPICALES,FRESCO Y EQUILIBRADO,"COCINA LIGERA COMO PESCADOS Y MARISCOS, ENSALADAS DE PASTA Y COCINA ORIENTAL"
360,Blanco Vol i Dol,Blancos,D.O Cataluña,,"Chardonnay,Xarel.lo",Sin crianza,Amarillo pálido con reflejos verdosos. Muy brillante y nítido,"Aroma intenso que combina fruta amarilla, blanca y cítricos ","Entrada en boca amplia, fresca y frutal de gran intensidad. Larga persistencia con agradable final floral","Aperitivos, mariscos, crustáceos, pescados y carnes blancas"
361,Cava Canals & Nubiola,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9-12 meses en botella,Amarillo pálido,"Aromas suaves de crianza, notas cítricas y recuerdos de macedonia","Fresco, sedoso y ligeramente seco","Pescados, mariscos, verduras"
362,Vino Sumarroca,Espumosos,D.O Cava,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",24 meses en botella,Amarillo pálido,"Fresco, toques frutales y de repostería","Afrutado y fresco, burbuja fina y buena estructura","Postres, pescados, mariscos, arroces, pastas"
363,Vino Doña Leo,Blancos,D.O Manchuela,"0,75L","Moscatel de grano menudo,Moscatel",5 meses de crianza sobre lías,Amarillo pálido con ribete verdoso,Aromas florales,"Graso, fresco, limpio con buena acidez y final largo",Para disfrutar en cualquier momento
364,Vino Viñamalata,Rosados,D.O Valencia,"0,75L",Tempranillo,Sin crianza,Frambuesa brillante,Flores y frutos tropicales,Sutil y afrutado con final prolongado,"Aperitivos, ensaladas, pescado blanco y mariscos"
365,Vino Castillo Perelada,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",15 meses en botella,Amarillo pálido con reflejos dorados,"Fruta blanca madura, hierbas, toques cítricos","Fresco, seco, estructurado y amplio con final medio","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
366,Vino Mistela Moscatel de Turís,Generosos,D.O Valencia,"0,75L","Moscatel de alejandría,Moscatel",Sin crianza,Amarillo pajizo,"Intenso y complejo, aromas florales, cítricos, miel, frutos secos y repostería","Sedoso, rico y persistente en boca","Aperitivos, foie, quesos azules, dulces, postres o con hielo"
367,Vino Pluvium ,Blancos,D.O Valencia,"0,75L","Merseguera,Sauvignon blanc",Sin crianza,Amarillo brillante,Flores y fruta madura,Fresco y puro con buen equilibrio,"Pescados, mariscos"
368,Vino Pata Negra ,Ecológicos,D.O Cava,"0,75L",Macabeo,12 meses en botella,"Amarillo pajizo pálido, burbuja pequeña y rosario permanente","Afrutado con toques cítricos, manzana y notas complejas de levadura","Amplio en boca, acidez refrescante y bien integrada. Final limpio y persistente","Aperitivos, entrantes, pescados, mariscos"
369,Vino Marqués de Cáceres ,Rosados,D.O Rioja,"0,75L","Tempranillo,Garnacha",Sin crianza,Fresón tirando a coral vivo,"Fruta roja, flores blancas y rosas","Sabroso, con toques de cereza, hinojo, endrino y fondo de anís","Paellas, pastas, pizza, barbacoas, ensaladas, carnes blancas, pescados y platos especiados"
